"R934","R933","R935","R1064","R1067","R938","R330","R331","R345","R325","R326","R327","R325","R334","R340","Location_of_near-infrared_absorption_valleys(nm)","area_of_red_border","Red_Edge_Amplitude","Red_Edge_Position(nm)","absorption_width(nm)","area_of_red_border","D1-range","D1-Variance","D9-50th_percentile","Cd"
0.48442945,0.48121839,0.48068860,0.00969628,-0.01483324,-0.00489254,0.01265339,0.01199332,0.00765196,-0.92818328,-0.65524299,-0.65771489,3.96504605,4.80309402,4.83201105,971.0,14.55198026,0.00983559,730.0,177.0,14.55198026,7.92307082,15.69376279,-0.00015440,0.77700000
0.45306978,0.46651799,0.44961670,0.03676924,-0.03489328,0.00491545,0.02295489,0.02363157,0.01099127,-0.88361371,-0.62357240,-0.62431595,4.05515453,4.45274045,4.29879682,971.0,16.18982977,0.00963776,730.0,177.0,16.18982977,7.55759036,14.27929301,-0.00028806,0.78700000
0.63040325,0.62483309,0.62002841,0.00445501,-0.01077508,-0.00984223,0.02689960,0.02850432,0.01870387,-1.09328609,-0.77062973,-0.78463151,3.39670204,3.89105999,4.34674595,971.0,18.30999876,0.02255999,760.0,207.0,18.30999876,9.45804922,22.36367374,-0.00019529,0.81500000
0.49607293,0.50099179,0.49477010,0.00695463,-0.00712307,-0.00653286,0.01801619,0.02007519,0.01125728,-0.99547245,-0.69396714,-0.70355000,3.83330554,4.30817982,4.34499077,972.0,17.83901748,0.01118328,731.0,179.0,17.83901748,8.34492557,17.40944571,-0.00014270,0.83900000
0.55717564,0.54707074,0.56583171,-0.00270991,-0.00124216,-0.00206854,0.02303454,0.02451454,0.01648330,-1.05080865,-0.73360242,-0.72943725,3.94488329,3.84751788,3.95430424,972.0,18.84519040,0.01380362,760.0,208.0,18.84519040,8.88845409,19.75115403,-0.00027490,0.84100000
0.48460967,0.48360755,0.48492894,-0.00115678,0.00084112,-0.01075276,0.00853212,0.01202302,0.00883052,-0.94389963,-0.66314596,-0.66906952,3.80014685,4.78044075,4.35055700,972.0,13.96350195,0.01028981,738.0,185.0,13.96350195,8.06740175,16.27074274,-0.00020234,0.86400000
0.44798662,0.45104476,0.44434758,0.00239274,0.02237088,0.00583091,0.01340523,0.01520223,0.01176247,-0.82313980,-0.59349086,-0.59514623,3.76929658,3.94749934,4.33085174,972.0,13.84237156,0.01401781,760.0,208.0,13.84237156,7.22505555,13.05035693,-0.00007234,0.97700000
0.44733048,0.44929640,0.44170359,0.01582687,-0.00720166,0.02299726,0.01551953,0.01756325,0.00840295,-0.88006647,-0.61973514,-0.62476539,4.17168293,4.26227929,5.10462041,972.0,14.93119589,0.00943669,724.0,171.0,14.93119589,7.47257338,13.95983824,-0.00007864,1.03500000
0.48431084,0.47929216,0.48765806,-0.00898102,-0.00115604,0.01449820,0.01955182,0.01528556,0.00866534,-0.88873553,-0.62411634,-0.61826875,4.46206848,4.52795698,4.99547077,972.0,13.64061757,0.01618082,760.0,205.0,13.64061757,7.59667107,14.42735284,-0.00014089,1.26700000
0.53301296,0.53727321,0.52074446,-0.00757743,0.01671697,-0.01906470,0.03897677,0.03192132,0.02173337,-0.91930003,-0.64428772,-0.65502844,3.10561032,3.52905372,3.73032796,972.0,17.78795506,0.01496206,760.0,207.0,17.78795506,7.92695042,15.70913574,-0.00020389,1.26700000
0.36662095,0.36025984,0.37266568,0.00743666,-0.01097859,0.00488281,0.01392111,0.01337084,0.00930093,-0.71462646,-0.50653710,-0.50397863,4.17040784,4.76146167,4.55548238,972.0,12.69121665,0.00799005,729.0,177.0,12.69121665,6.08223265,9.24838850,-0.00005445,1.49700000
0.41863471,0.42779880,0.41323085,0.01743566,-0.00740039,-0.00235351,0.01802376,0.01698320,0.01468433,-0.82723503,-0.58232482,-0.58472068,3.64063694,4.25366661,4.21004239,972.0,15.07951765,0.00949136,730.0,177.0,15.07951765,7.04749425,12.41679381,-0.00007289,1.65400000
0.39107851,0.39283108,0.39143484,0.01178279,-0.01173115,-0.00199253,0.01601485,0.01628608,0.01113018,-0.75298001,-0.52595224,-0.52193887,4.13922849,4.14382011,4.17072226,972.0,14.78112845,0.00887032,724.0,171.0,14.78112845,6.32607837,10.00481689,-0.00017245,1.75600000
0.52145720,0.52697909,0.51951080,-0.01537188,-0.00198535,0.00872571,0.02552550,0.02229181,0.01374371,-0.98708318,-0.71083226,-0.70367040,3.75119048,5.18494117,4.66182087,972.0,15.54847191,0.01042132,738.0,184.0,15.54847191,8.58357276,18.41943033,-0.00010687,2.23500000
